Depth (m),   Samples, Date of ice (yr AD), Date air enclosed (yr AD), CO2 concentration (ppmv)
187.0-187.3,    10,       1663,     1734-1756,     279
177.0-177.3,    10,       1683,     1754-1776,     279
162.0-162.3,     9,       1723,     1794-1819,     280
147.0-147.2,    10,       1743,     1814-1836,     284
128.0-129.0,    47,       1782,     1842-1864,     288
111.0-112.0,    26,       1812,     1883-1905,     297
102.0-103.0,    26,       1832,     1903-1925,     300
 92.0-93.0 ,    25,       1850,     1921-1943,     306
 82.0-83.0 ,    28,       1867,     1938-1960,     311
 76.2-76.6 ,    11,       1876,     1947-1969,     312
 72.4-72.7 ,    11,       1883,     1954-1976,     318
 68.2-68.6 ,    8 ,       1891,     1962-1983,     328
